year,holiday,vfr,business,education,total
2015,3496850,2069140,602000,459520,7449780
2016,4250000,2080360,612010,501560,8269340
2017,4347640,2436400,659860,560060,8815300
2018,4339340,2790660,692420,600550,9245620
2019,4475720,2845920,675790,620420,9465900
2020,789340,552510,120370,180260,1827720
2021,21370,148010,20930,8400,246240
2022,1056350,1767680,267410,199880,3694360
2023,2885050,2628030,445420,415240,7187440
2024,3607920,2809890,470640,492230,8270930
2025,3976590,2955550,486190,560140,8937390
