country,trips_2024,trips_2025,nights_2024,nights_2025,spend_2024_m,spend_2025_m,spend_per_trip_2025
New Zealand,1259.5,1302.8,14804.3,15401.6,2063.8,2410.1,1849.9
China,829.0,974.4,45058.4,53413.9,8065.0,11246.3,11541.8
United Kingdom,604.7,720.9,21858.0,28128.3,2195.1,2870.2,3981.4
United States of America,668.8,696.9,12063.2,12103.8,1992.6,2396.4,3438.7
India,421.0,429.2,28826.9,28355.2,1660.2,1834.8,4274.9
Singapore,360.7,385.6,5445.5,5949.2,1088.4,1122.3,2910.5
Japan,361.8,385.2,12931.0,14561.7,1434.9,1616.7,4197.0
Korea,342.3,362.6,11037.5,9377.1,1571.1,1444.6,3984.0
Hong Kong,198.8,228.2,5248.7,6735.9,873.4,1127.8,4942.2
Indonesia,201.8,217.9,10339.7,9531.3,998.0,976.2,4480.0
Malaysia,183.7,193.6,5292.2,5274.5,685.1,704.9,3641.0
Philippines,164.3,179.3,10856.8,10901.4,601.4,607.7,3389.3
Taiwan,149.3,174.9,9850.4,9514.8,902.9,977.8,5590.6
Germany,159.3,169.4,6213.7,5741.2,612.3,685.2,4044.9
Canada,154.3,160.8,4505.9,5100.7,554.5,664.6,4133.1
Vietnam,160.5,153.9,6524.7,7961.1,833.2,906.4,5889.5
France,121.8,138.6,9324.3,11342.3,680.4,924.5,6670.3
Thailand,89.7,91.2,5148.9,6063.6,456.8,459.9,5042.8
Italy,63.5,74.2,4993.8,5006.7,348.4,401.4,5409.7
Netherlands,48.3,52.0,1711.3,1703.4,194.0,214.9,4132.7
Switzerland,40.6,43.6,1366.2,1552.0,199.4,261.5,5997.7
