year,NSW,VIC,QLD,SA,WA,TAS,NT,ACT,total,NSW_pct,VIC_pct,QLD_pct,SA_pct,WA_pct,TAS_pct,NT_pct,ACT_pct
2015,2784930,1810820,1664220,210730,763840,52580,89050,73530,7449700,37.38,24.31,22.34,2.83,10.25,0.71,1.2,0.99
2016,3119290,2040120,1826180,217190,844150,60520,83530,78250,8269230,37.72,24.67,22.08,2.63,10.21,0.73,1.01,0.95
2017,3383060,2184550,1888150,247210,853760,76270,88370,93530,8814900,38.38,24.78,21.42,2.8,9.69,0.87,1.0,1.06
2018,3473130,2378940,2013010,260230,849090,88580,72320,109760,9245060,37.57,25.73,21.77,2.81,9.18,0.96,0.78,1.19
2019,3482840,2509730,2031680,276130,884070,95060,76870,109190,9465570,36.79,26.51,21.46,2.92,9.34,1.0,0.81,1.15
2020,669310,503610,350260,59110,188130,24630,10890,21600,1827540,36.62,27.56,19.17,3.23,10.29,1.35,0.6,1.18
2021,110820,55460,47230,6210,15070,4100,3410,3890,246190,45.01,22.53,19.18,2.52,6.12,1.67,1.39,1.58
2022,1311310,974020,775900,127490,381940,41850,27980,53570,3694060,35.5,26.37,21.0,3.45,10.34,1.13,0.76,1.45
2023,2760620,1841750,1465570,221960,684930,72020,46020,93880,7186750,38.41,25.63,20.39,3.09,9.53,1.0,0.64,1.31
2024,3116280,2136390,1719920,234230,830530,79410,52160,101220,8270140,37.68,25.83,20.8,2.83,10.04,0.96,0.63,1.22
2025,3364640,2277730,1843090,264490,939450,87710,60910,98520,8936540,37.65,25.49,20.62,2.96,10.51,0.98,0.68,1.1
